id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
11640.0,rue de tirlemont,110,4280,hannut,liège,"rue de tirlemont,110,4280,hannut,liège","(5.0634435, 50.6856538)",50.6856538,5.0634435
11642.0,rue d avernas,9,4280,hannut,liège,"rue d avernas,9,4280,hannut,liège","(5.079464499999999, 50.6755792)",50.6755792,5.079464499999999
11643.0,doornstraat,331,2610,wilrijk,antwerpen,"doornstraat,331,2610,wilrijk,antwerpen","(4.401706, 51.1579145)",51.1579145,4.401706
11644.0,waterstraat,4,3740,bilzen,limburg,"waterstraat,4,3740,bilzen,limburg","(5.5262139, 50.88979579999999)",50.88979579999999,5.5262139
11645.0,sint-catarinastraat,4,3740,bilzen,limburg,"sint-catarinastraat,4,3740,bilzen,limburg","(5.5743475, 50.8627315)",50.8627315,5.5743475
11646.0,kelderveld,23,2500,lier,antwerpen,"kelderveld,23,2500,lier,antwerpen","(4.543999599999999, 51.1469724)",51.1469724,4.543999599999999
11647.0,place de wallonie,15,6140,fontaine,hainaut,"place de wallonie,15,6140,fontaine,hainaut","(4.3244865, 50.4110524)",50.4110524,4.3244865
11648.0,ruelle aux loups,2,6140,fontaine,hainaut,"ruelle aux loups,2,6140,fontaine,hainaut","(4.3319238, 50.4134359)",50.4134359,4.3319238
11649.0,rue du château,1,6140,fontaine,hainaut,"rue du château,1,6140,fontaine,hainaut","(4.3226834, 50.4117282)",50.4117282,4.3226834
11650.0,rue du palais,66,4800,verviers,liège,"rue du palais,66,4800,verviers,liège","(5.8610736, 50.590082)",50.590082,5.8610736
11651.0,luchthaven brussel nationaal- sheraton,1,1930,zaventem,vlaams-brabant,"luchthaven brussel nationaal- sheraton,1,1930,zaventem,vlaams-brabant","(4.4832025, 50.8970565)",50.8970565,4.4832025
11652.0,verdunstraat,750,1130,haren,bruxelles-brussel,"verdunstraat,750,1130,haren,bruxelles-brussel","(4.4244216, 50.9014901)",50.9014901,4.4244216
11653.0,route d eghezée,213,5190,jemeppes-sur-sambre,namur,"route d eghezée,213,5190,jemeppes-sur-sambre,namur","(4.671537799999999, 50.4726149)",50.4726149,4.671537799999999
11654.0,kapucijnenstraat,7,2200,herentals,antwerpen,"kapucijnenstraat,7,2200,herentals,antwerpen","(4.829594999999999, 51.1799444)",51.1799444,4.829594999999999
